MSN,YYYY,MM,Value,Column_Order,Description,Unit
FFTCBUS,1977,10,5.72095,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977,11,5.900695,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977,12,6.781158,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1977,13,70.949841,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978,1,6.994146,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978,2,6.416481,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978,3,6.280715,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978,4,5.537677,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978,5,5.63302,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978,6,5.469015,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978,7,5.629409,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978,8,5.801865,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978,9,5.446963,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978,10,5.788479,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978,11,6.02842,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978,12,6.783142,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1978,13,71.80982,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979,1,7.336166,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979,2,6.732512,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979,3,6.42199,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979,4,5.635417,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979,5,5.688216,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979,6,5.520908,4,Total Fossil Fuels Consumption,Quadrillion Btu
